Ready to connect
Time result: 0.000021497 seconds.
Time result: 0.000002276 seconds.
Time result: 0.000032163 seconds.
Time result: 0.000009864 seconds.
Time result: 0.000000974 seconds.
Time result: 0.000000981 seconds.
Time result: 0.000022899 seconds.
Time result: 0.000004256 seconds.
Time result: 0.000031178 seconds.
Time result: 0.000008529 seconds.
Time result: 0.000031305 seconds.
Time result: 0.000012788 seconds.
Time result: 0.000033616 seconds.
Time result: 0.000007254 seconds.
Time result: 0.000026644 seconds.
Time result: 0.000005404 seconds.
Time result: 0.000011374 seconds.
Time result: 0.000001103 seconds.
Time result: 0.000028937 seconds.
Time result: 0.000005739 seconds.
Time result: 0.000028514 seconds.
Time result: 0.000006534 seconds.
Time result: 0.000028687 seconds.
Time result: 0.000001101 seconds.
Time result: 0.000014722 seconds.
Time result: 0.000025045 seconds.
Time result: 0.000006228 seconds.
Time result: 0.000031284 seconds.
Time result: 0.000009383 seconds.
Time result: 0.000034376 seconds.
Time result: 0.000003504 seconds.
Time result: 0.000023871 seconds.
Time result: 0.000001172 seconds.
Time result: 0.000026712 seconds.
Time result: 0.000044474 seconds.
Time result: 0.000023799 seconds.
Time result: 0.000002722 seconds.
Time result: 0.000029761 seconds.
Time result: 0.000010459 seconds.
Time result: 0.000001011 seconds.
Time result: 0.000001178 seconds.
Time result: 0.000021040 seconds.
Time result: 0.000001394 seconds.
Time result: 0.000020534 seconds.
Time result: 0.000001183 seconds.
Time result: 0.000023028 seconds.
Time result: 0.000001116 seconds.
Time result: 0.000018734 seconds.
Time result: 0.000039886 seconds.
Time result: 0.000017351 seconds.
Time result: 0.000036424 seconds.
Time result: 0.000017454 seconds.
Time result: 0.000008657 seconds.
Time result: 0.000001084 seconds.
Time result: 0.000023135 seconds.
Time result: 0.000042471 seconds.
Time result: 0.000018175 seconds.
Time result: 0.000043320 seconds.
Time result: 0.000024973 seconds.
Time result: 0.000032089 seconds.
Time result: 0.000014127 seconds.
Time result: 0.000001156 seconds.
Time result: 0.000001234 seconds.
Time result: 0.000021264 seconds.
Time result: 0.000048406 seconds.
Time result: 0.000025759 seconds.
Time result: 0.000005861 seconds.
Time result: 0.000008084 seconds.
Time result: 0.000001348 seconds.
Time result: 0.000001952 seconds.
Time result: 0.000017272 seconds.
Time result: 0.000037690 seconds.
Time result: 0.000041875 seconds.
Time result: 0.000006196 seconds.
Time result: 0.000028719 seconds.
Time result: 0.000005867 seconds.
Time result: 0.000020897 seconds.
Time result: 0.000001142 seconds.
Time result: 0.000023722 seconds.
Time result: 0.000038584 seconds.
Time result: 0.000002001 seconds.
Time result: 0.000026742 seconds.
Time result: 0.000002526 seconds.
Time result: 0.000001169 seconds.
Time result: 0.000001201 seconds.
Time result: 0.000017862 seconds.
Time result: 0.000039529 seconds.
Time result: 0.000016196 seconds.
Time result: 0.000031314 seconds.
Time result: 0.000013234 seconds.
Time result: 0.000031138 seconds.
Time result: 0.000011316 seconds.
Time result: 0.000032780 seconds.
Time result: 0.000009184 seconds.
Time result: 0.000029333 seconds.
Time result: 0.000005929 seconds.
Time result: 0.000024364 seconds.
Time result: 0.000005136 seconds.
Time result: 0.000028099 seconds.
Time result: 0.000002421 seconds.
Time result: 0.000021032 seconds.
Time result: 0.000002015 seconds.
Time result: 0.000023523 seconds.
Time result: 0.000003827 seconds.
Time result: 0.000025959 seconds.
Time result: 0.000007594 seconds.
Time result: 0.000002244 seconds.
Time result: 0.000001222 seconds.
Time result: 0.000027644 seconds.
Time result: 0.000043175 seconds.
Time result: 0.000022412 seconds.
Time result: 0.000042318 seconds.
Time result: 0.000019059 seconds.
Time result: 0.000039492 seconds.
Time result: 0.000018662 seconds.
Time result: 0.000038679 seconds.
Time result: 0.000007120 seconds.
Time result: 0.000025194 seconds.
Time result: 0.000005862 seconds.
Time result: 0.000030059 seconds.
