Ready to connect
Time result: 0.000032813 seconds.
Time result: 0.000029529 seconds.
Time result: 0.000027196 seconds.
Time result: 0.000024337 seconds.
Time result: 0.000021099 seconds.
Time result: 0.000018572 seconds.
Time result: 0.000015916 seconds.
Time result: 0.000012957 seconds.
Time result: 0.000010223 seconds.
Time result: 0.000007539 seconds.
Time result: 0.000005123 seconds.
Time result: 0.000002666 seconds.
Time result: 0.000000829 seconds.
Time result: 0.000001005 seconds.
Time result: 0.000036248 seconds.
Time result: 0.000033223 seconds.
Time result: 0.000030337 seconds.
Time result: 0.000027481 seconds.
Time result: 0.000024854 seconds.
Time result: 0.000021239 seconds.
Time result: 0.000018644 seconds.
Time result: 0.000015927 seconds.
Time result: 0.000012890 seconds.
Time result: 0.000010265 seconds.
Time result: 0.000007818 seconds.
Time result: 0.000005215 seconds.
Time result: 0.000002654 seconds.
Time result: 0.000000925 seconds.
Time result: 0.000001111 seconds.
Time result: 0.000036729 seconds.
Time result: 0.000033446 seconds.
Time result: 0.000030461 seconds.
Time result: 0.000027515 seconds.
Time result: 0.000024913 seconds.
Time result: 0.000022302 seconds.
Time result: 0.000019423 seconds.
Time result: 0.000017009 seconds.
Time result: 0.000014479 seconds.
Time result: 0.000011381 seconds.
Time result: 0.000009105 seconds.
Time result: 0.000006071 seconds.
Time result: 0.000002966 seconds.
Time result: 0.000000630 seconds.
Time result: 0.000001247 seconds.
Time result: 0.000034646 seconds.
Time result: 0.000032036 seconds.
Time result: 0.000029042 seconds.
Time result: 0.000026752 seconds.
Time result: 0.000024179 seconds.
Time result: 0.000021631 seconds.
Time result: 0.000018944 seconds.
Time result: 0.000015811 seconds.
Time result: 0.000013187 seconds.
Time result: 0.000010375 seconds.
Time result: 0.000007833 seconds.
Time result: 0.000005088 seconds.
Time result: 0.000002699 seconds.
Time result: 0.000000876 seconds.
Time result: 0.000000855 seconds.
Time result: 0.000035085 seconds.
Time result: 0.000032546 seconds.
Time result: 0.000029763 seconds.
Time result: 0.000026557 seconds.
Time result: 0.000024024 seconds.
Time result: 0.000021112 seconds.
Time result: 0.000018455 seconds.
Time result: 0.000016003 seconds.
Time result: 0.000013728 seconds.
Time result: 0.000011344 seconds.
Time result: 0.000008713 seconds.
Time result: 0.000004944 seconds.
Time result: 0.000002639 seconds.
Time result: 0.000001111 seconds.
Time result: 0.000001145 seconds.
Time result: 0.000037312 seconds.
Time result: 0.000034979 seconds.
Time result: 0.000032364 seconds.
Time result: 0.000029907 seconds.
Time result: 0.000026732 seconds.
Time result: 0.000023909 seconds.
Time result: 0.000020086 seconds.
Time result: 0.000017481 seconds.
Time result: 0.000014564 seconds.
Time result: 0.000011263 seconds.
Time result: 0.000008502 seconds.
Time result: 0.000005560 seconds.
Time result: 0.000002906 seconds.
Time result: 0.000000936 seconds.
Time result: 0.000000880 seconds.
Time result: 0.000038688 seconds.
Time result: 0.000035958 seconds.
Time result: 0.000032977 seconds.
Time result: 0.000029264 seconds.
Time result: 0.000026757 seconds.
Time result: 0.000023729 seconds.
Time result: 0.000020817 seconds.
Time result: 0.000016347 seconds.
Time result: 0.000014020 seconds.
